"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2023-01-18","10:16:00",4011.67,"1 Jan 18 4010 C BTO 10.00 | 1 Jan 18 4080 C BTO 0.10 | 2 Jan 18 4045 C STO 0.65",-890,3990.2,"2023-01-18","10:44:00",-210,"Stop Loss",-690.24,-77.55505617977528,1,156696.08,890,"ORB 70/35 3% Monday-Friday No SL",7.12,3.12,0.129,0.118,18.98,19.16,11.28,9.42,0,-75.28
"2023-01-18","10:05:00",4009.86,"4 Jan 18 3955 P BTO 0.50",-100,3928.86,"2023-01-18","16:00:00",-5228,"Expired",10249.2,5124.6,2,167644.68,200,"h 16:05//Put Lottery ticket- sma200 abv - Vix max 20- VIX max move up 1% - Move up - 1$ - MULTI - V2",6.8,0,0,0,19.07,20.3,11.28,7.61,5500,-30
"2023-01-18","09:32:00",4004.47,"1 Jan 18 3995 P BTO 8.10 | 1 Jan 18 4010 C BTO 9.70 | 1 Jan 18 3980 P STO 4.40 | 1 Jan 18 4025 C STO 4.35",-915,3928.86,"2023-01-18","16:00:00",-1500,"Expired",577.88,63.15628415300546,1,168222.56,915,"h 15:32Mark RIC d40/40 w15",7.12,0,0.492,0.77,19.03,20.3,11.28,2.22,63.93,-20.22
"2023-01-17","13:45:00",4000.53,"1 Jan 17 3995 P STO 3.50 | 1 Jan 17 4010 C STO 2.00 | 1 Jan 17 3985 P BTO 1.25 | 1 Jan 17 4020 C BTO 0.55",360,3990.97,"2023-01-17","16:00:00",403,"Expired",-50.12,-13.922222222222222,1,156883.44,640,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,3.056,45,19.26,19.3,0.19,1.25,36.11,-115.28
"2023-01-17","11:02:00",3993.71,"1 Jan 17 3990 P STO 8.10 | 1 Jan 17 4005 C STO 4.95 | 1 Jan 17 3965 P BTO 1.55 | 1 Jan 17 4025 C BTO 1.10",1030,3990.97,"2023-01-17","16:00:00",0,"Expired",1022.88,99.30873786407767,1,156933.56,1470,"h 17:00 17:30 IC -LUN-MAR-VEN",7.12,0,4.925,3,19.77,19.3,0.19,-5.57,100,-13.59
"2023-01-17","10:15:00",4010.21,"1 Jan 17 4010 C BTO 10.10 | 1 Jan 17 4080 C BTO 0.10 | 2 Jan 17 4045 C STO 0.75",-880,3991.42,"2023-01-17","11:08:00",-240,"Stop Loss",-650.24,-73.89090909090909,1,155910.68,880,"ORB 70/35 3% Monday-Friday No SL",7.12,3.12,0.147,0.094,19.63,19.83,0.19,10.93,23.3,-71.59
"2023-01-17","09:32:00",4001.07,"1 Jan 17 3975 P STO 3.80 | 1 Jan 17 4025 C STO 3.50 | 1 Jan 17 3955 P BTO 1.30 | 1 Jan 17 4045 C BTO 0.80",510,3990.97,"2023-01-17","16:00:00",0,"Expired",502.88,98.60392156862746,1,157386.32,1490,"h 15:32 IC Mark d20 w20 V.2 Sma5 Gap Up",7.12,0,3.476,1,19.83,19.3,0.19,1.79,100,-3.92
"2023-01-13","14:15:00",3987.42,"2 Jan 13 3985 P STO 4.40 | 2 Jan 13 3980 P BTO 2.65",165,3999.09,"2023-01-13","16:00:00",0,"Expired",323.4,98,2,153440.36,670,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.66,1,18.08,18.23,-22.57,26.82,100,-18.18
"2023-01-13","13:45:00",3986.99,"1 Jan 13 3980 P STO 3.55 | 1 Jan 13 3995 C STO 2.90 | 1 Jan 13 3970 P BTO 1.35 | 1 Jan 13 4005 C BTO 0.95",405,3999.09,"2023-01-13","16:00:00",409,"Expired",-11.12,-2.7456790123456787,1,156747.72,595,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,2.804,36.5,18.09,18.23,-22.57,26.39,39.51,-70.37
"2023-01-13","13:15:00",3979.78,"2 Jan 13 3975 P STO 4.70 | 2 Jan 13 3970 P BTO 3.10",150,3999.09,"2023-01-13","16:00:00",0,"Expired",293.4,97.79999999999998,2,153733.76,700,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.516,1,18.13,18.23,-22.57,19.18,100,-43.33
"2023-01-13","12:00:00",3971.53,"1 Jan 18 3920 P STO 8.10 | 1 Jan 18 4025 C STO 6.10 | 1 Jan 20 3920 P BTO 13.65 | 1 Jan 20 4025 C BTO 11.50",-1098,3928.86,"2023-01-18","16:00:00",-1800,"Expired",699.4,63.69763205828779,1,157395.48,1098,"Doppio Calendar VIX O/N - VEN -18.00",2.6,0,0.565,0.006,18.34,20.3,-22.57,10.93,67.58,-14.85
"2023-01-13","10:15:00",3970.81,"1 Jan 13 3970 C BTO 11.70 | 1 Jan 13 4040 C BTO 0.10 | 2 Jan 13 4005 C STO 1.05",-980,3999.09,"2023-01-13","16:00:00",-2909,"Expired",1921.88,196.11020408163267,1,156758.84,980,"ORB 70/35 3% Monday-Friday No SL",7.12,0,0.178,0.003,18.42,18.23,-22.57,10.21,210.2,-31.63
"2023-01-13","10:05:00",3964.59,"4 Jan 13 3895 P BTO 0.45",-90,3999.09,"2023-01-13","16:00:00",0,"Expired",-186.8,-103.77777777777779,2,156560.92,180,"h 16:05//Put Lottery ticket- sma200 abv - Vix max 20- VIX max move up 1% - Move up - 1$ - MULTI - V2",6.8,0,0,0,18.62,18.23,-22.57,3.99,0,-100
